id,english,japanese,example,
65,mail,郵便(名)/郵送する(動),I will ____ the invoice to your billing address.,
66,extra,追加の/余分の,The hotel offers ____ amenities for business travelers.,
67,firm,事務所/会社(名)/しっかりした/堅固な(形),She works for a well-known law ____ in the city.,
68,publish,出版する/掲載する/公表する,The company plans to ____ its annual report next month.,
69,located,位置している/(場所)にある,Our new office is ____ in the center of downtown.,
70,broadcast,放送する(動)/放送(名),The press conference will be ____ live on television.,
71,management,管理/経営(陣),Good ____ is key to the success of any organization.,
72,resource,資源/財産/(教育)資料,The company invested in new human ____ software.,
73,base,拠点を置く/基礎を置く(動)/拠点/基盤(名),The company decided to ____ its new branch in Singapore.,
74,currently,現在,We are ____ reviewing applications for the position.,
75,rate,料金/割合/レート(名)/評価する(動),The hotel offers a special ____ for corporate guests.,
76,financial,財政上の/財務の/金融上の,The company released its ____ results for the third quarter.,
77,consider,(よく)考える/検討する,We are ____ expanding our operations to Asia.,
78,install,設置する/インストールする,A technician will ____ the new software on your computer.,
79,allow,許す/可能にする/(時間などを)見込む,Company policy does not ____ personal use of work equipment.,
80,colleague,同僚,I discussed the proposal with a ____ before the meeting.,
81,arrange,手配する/並べる,Please ____ a meeting with the client for next Thursday.,
82,reduce,減らす/(価格などを)下げる,The new system helped ____ operational costs by 15%.,
83,replace,取り替える/取って代わる,We need to ____ the outdated computers in the office.,
84,register,登録する/述べる(動)/名簿/記録(名),Please ____ for the conference on our website.,
85,focus,集中する/重点を置く(動)/焦点/重点(名),The team decided to ____ on improving customer service.,
86,proposal,提案/案,The board approved the new business ____ last week.,
87,introduce,紹介する/導入する,I'd like to ____ our new product at the trade show.,
88,prefer,(~の方を)好む,Most employees ____ to receive feedback in writing.,
89,promote,昇進させる/販売を促進する/宣伝する/促進する,The company plans to ____ its products at the trade fair.,
90,opportunity,機会/チャンス,This is a great ____ to expand our business overseas.,
91,clothing,衣料品/衣類,The store sells a wide range of business ____.,
92,exhibit,展示する/示す(動)/展示(会)/展示(品)(名),The museum will ____ rare artworks from around the world.,
93,property,物件/不動産/所有物/資産/特性,The company owns several commercial ____ in the city.,
94,expand,拡大する/進出する,The company plans to ____ its operations into new markets.,
95,host,主催する/司会する(動)/主催者/司会者(名),Our company will ____ the annual conference this year.,
96,reserve,予約する/取っておく/(権利等を)保有する(動)/予備/自然保護区(名),Please ____ a meeting room for Thursday afternoon.,
97,pleased,満足した/喜んだ/嬉しい,We are ____ to announce the opening of our new branch.,
98,instruction,指示(書)/取扱説明書,Please follow the ____ in the manual carefully.,
99,latest,最新の,The ____ model of the smartphone was released yesterday.,
100,bill,請求書/法案(名)/請求する(動),Please send the ____ to our accounting department.,
101,development,開発/発展/進展/開発地,The city's ____ plan includes building new parks and roads.,
102,accounting,会計/経理,She works in the ____ department and handles financial reports.,
103,benefit,手当/恩恵/特典(名)/利益を受ける/役立つ(動),One ____ of working here is the flexible schedule.,
104,rent,賃貸借する/レンタルする(動)/賃料/家賃(名),They decided to ____ office space in the city center.,
105,agency,代理店/(政府)機関,We hired a marketing ____ to promote our new product.,
106,upcoming,今度の/まもなくやってくる,Please review the schedule for ____ meetings next week.,
107,accept,受け入れる/受け付ける/受け取る,We are pleased to ____ your application for the position.,
108,representative,担当者/代表者(名)/典型的な(形),A sales ____ will contact you within 24 hours.,
109,author,著者,The ____ will sign copies of her book at the event.,
110,deadline,締め切り/(最終)期限,Please submit your report before the ____ on Friday.,
111,resident,住民/居住者(名)/居住している(形),Every ____ must register at the local city office.,
112,candidate,候補者/志望者,Each ____ will be interviewed by the hiring committee.,
113,organize,準備する/手配する/整理する,We need to ____ the files in alphabetical order.,
114,laboratory,実験室/研究所,All experiments must be conducted in the ____.,
115,release,発売する/公表する/公開する(動)/発売/公開(名),The company plans to ____ its new product next month.,
116,conduct,行う/実施する(動)/行動/品行(名),The manager will ____ a performance review next week.,
117,participate,参加する,All employees are encouraged to ____ in the training session.,
118,corporate,法人の/企業の/会社の,The company updated its ____ policy last quarter.,
119,feedback,意見/感想/フィードバック,Please share your ____ after attending the seminar.,
120,committee,委員会,The ____ will meet to discuss the budget proposal.,
121,advance,前進/進歩(名)/前進する/進む(動)/事前の/前払いの(形),We need to book the hotel rooms in ____.,
122,encourage,奨励する/進める/促進する,The manager tries to ____ his team to share new ideas.,
123,approve,承認する/賛成する,The board must ____ all major financial decisions.,
124,expense,経費/費用,Please submit all ____ reports by the end of the month.,
125,renovation,改修/改装,The office ____ will be completed by the end of next month.,
126,excellent,素晴らしい/非常に優れた/優秀な,The new employee did an ____ job on her first project.,
127,fund,資金/基金(名)/資金を提供する(動),The company set up a ____ to support employee education.,
128,operate,運営する/操作する/操業する/作動する,The new machine is easy to ____ even without training.,
129,resume,履歴書(名)/再開する(動),Please send your ____ and cover letter to our HR department.,
130,reschedule,予定を変更する,We need to ____ the meeting due to a scheduling conflict.,
131,describe,説明する/描写する,Could you ____ the problem you encountered in detail?,
132,inform,知らせる,Please ____ the team about any changes to the schedule.,
133,volunteer,進んで申し出る/志願する(動)/ボランティア(名),Employees can ____ to help organize the company charity event.,
134,executive,重役/役員(名)/経営幹部の(形),The ____ team will meet to discuss the merger proposal.,
135,transportation,交通機関/交通手段/輸送,The company provides ____ allowances for employees who commute.,
136,branch,支店/支社/支部/分館/枝,Our Tokyo ____ will open a new office next spring.,
137,refund,返金(名)/返金する(動),Customers can request a full ____ within 30 days of purchase.,
138,successful,成功した/好結果の,The new marketing campaign was ____ and generated record sales.,
139,merchandise,商品,The store is offering discounts on all ____ this weekend.,
140,remind,思い出させる/念を押す,Could you ____ me to send the report before the meeting?,
141,estimate,見積もる/推測する(動)/見積もり(書)(名),The contractor provided an ____ for the renovation work.,
142,launch,開始する/売り出す(動)/開始/発売(名),The company plans to ____ its new app next quarter.,
143,appreciate,感謝する/ありがたく思う/価値を認める,We really ____ your hard work and dedication to the project.,
144,track,追跡する(動)/道/記録(名),We use software to ____ all customer orders in real time.,
145,unfortunately,残念ながら/あいにく,____ the flight was canceled due to bad weather.,
146,editor,編集者,The ____ reviewed the article before it was published.,
147,previous,前の/以前の,Please refer to the ____ report for background information.,
148,commercial,商業用の/商売用の(形)/コマーシャル/広告(名),The new ____ will air during the championship game.,
149,reference,推薦(状)/照会(先)/参照,Please list three professional ____ s on your application form.,
150,invitation,招待(状),We received an ____ to the company's annual dinner.,
151,original,元の/最初の/独創的な(形)/原本(名),Please keep the ____ document and send us a copy.,
152,selection,品ぞろえ/選択/選抜,The store offers a wide ____ of office supplies.,
153,attract,引きつける/引き寄せる,The new advertisement helped ____ more customers to the store.,
154,handle,対処する/扱う/手で扱う(動)/取っ手/ハンドル(名),Our customer service team is trained to ____ all complaints.,
155,memo,内部連絡/内部通達,Please read the ____ about the new office procedures.,
156,attach,添付する/取り付ける,Please ____ your resume to the email before sending it.,
157,correct,訂正する(動)/正確な(形),The editor will ____ any errors before the report is published.,
158,council,議会,The city ____ approved the new development plan last week.,
159,suppose,～することになっている/思う,We ____ that the new policy will take effect next month.,
160,regular,通常の/定期的な/常連の(形)/常連客(名),The team holds ____ meetings every Monday morning.,
161,quarter,四半期/四分の一,Sales increased by 15 percent in the third ____ of this year.,
162,respond,返答する/反応する,Please ____ to the client's email as soon as possible.,
163,manufacturer,メーカー/製造業者,The ____ recalled the product due to a safety concern.,
164,cause,引き起こす(動)/原因/理由(名),Stress can ____ serious health problems if left untreated.,
165,device,機器/装置,Please make sure your ____ is fully charged before the meeting.,
166,warehouse,倉庫,All inventory is stored in the ____ until it is shipped.,
167,contain,含む,The package should ____ all the documents listed in the checklist.,
168,individual,個々の/個人の(形)/個人(名),Each ____ employee is responsible for their own timesheet.,
169,permit,許可証(名)/許可する(動),You need a special ____ to park in this area.,
170,transfer,転勤させる/転勤する/転送する(動)/転勤/振替(名),The company decided to ____ her to the London office.,
171,task,(期間内にやるべき)仕事/任務/職務,Please complete each ____ on the checklist before the deadline.,
172,intend,(～する)つもりである/意図する,We ____ to expand our business into the Asian market next year.,
173,directly,直接に/じかに,Please contact the manager ____ if you have any concerns.,
174,brochure,(商品やサービスの宣伝用の)パンフレット,Please pick up a ____ at the front desk for more information.,
175,competition,競技会/コンテスト/競争(相手),Our team won first place in the regional sales ____.,
176,limited,限られた/有限会社の,There are only a ____ number of seats available for the seminar.,
177,consumer,消費者,The survey showed that ____ satisfaction has improved significantly.,
178,procedure,手順/手続き,Please follow the standard ____ when filing a complaint.,
179,potential,潜在的な(形)/可能性/潜在力(名),The marketing team identified ____ new markets in Southeast Asia.,
180,downtown,中心街の(形)/中心街/繁華街(名)/繁華街へ(副),The new office is located in the ____ area near the main station.,
181,headquarters,本社,The company's ____ are located in New York City.,
182,further,さらに進んだ/それ以上の(形)/さらに/それ以上に(副),Please contact us if you need any ____ assistance.,
183,assistance,支援/援助,Please contact the help desk if you need ____ with the software.,
184,distribute,配布する/分配する/流通させる,We will ____ the updated handbooks to all employees next week.,
185,raise,(お金・資金を)集める/上げる/育てる(動)/賃上げ/昇給(名),The company plans to ____ salaries for all staff next year.,
186,impress,感心させる/感銘を与える,Her presentation managed to ____ the entire board of directors.,
187,seek,探し求める/～しようとする,We will ____ feedback from customers after the product launch.,
188,region,(国や世界などの広い)地域,Our products are sold in every ____ of the country.,
189,apologize,わびる/謝罪する/謝る,I would like to ____ for the delay in responding to your email.,
190,cafeteria,(従業員や学生用の)食堂/カフェテリア,Employees can enjoy a discounted lunch at the company ____.,
191,solution,解決策/溶液,The IT team found a ____ to the network problem quickly.,
192,range,範囲/種類(名)/及ぶ/変動する(動),The store offers a wide ____ of products for business use.,
193,luggage,(旅行者の)手荷物/旅行かばん,Passengers are allowed to bring one piece of carry-on ____.,
194,avoid,避ける,Please ____ scheduling meetings during the lunch hour.,
195,effective,効果的な/(法律や契約などが)有効な,The new training program was ____ in improving employee performance.,
196,investment,投資,The company made a significant ____ in new manufacturing equipment.,
197,general,一般的な/全般的な/全体的な(形)/将軍/長官(名),The ____ manager will address all staff at the meeting tomorrow.,
198,degree,学位/(温度などの)度/程度,She holds a ____ in business administration from a top university.,
199,entire,全体の/全部の,The ____ team worked overtime to finish the project on time.,
200,crew,チーム/グループ/(船や飛行機の)乗務員,The ____ worked through the night to complete the construction.,
201,comfortable,快適な/心地よい/自信が持てる,The new office chairs are very ____ to sit in all day.,
202,search,検索/捜索(名)/検索する/捜索する(動),Please ____ for the document in the shared folder.,
203,photography,写真撮影,The event will include professional ____ services.,
204,maintain,維持(管理)する/主張する,It is important to ____ a clean and safe work environment.,
205,demand,需要/要求(名)/求める/要求する(動),The ____ for electric vehicles has increased significantly.,
206,involve,巻き込む/伴う/含む,The project will ____ close collaboration between both teams.,
207,improvement,改良/改善,The manager suggested several areas for ____ in the report.,
208,postpone,延期する,We had to ____ the meeting due to the bad weather.,
209,advise,勧める/忠告する/助言する,I would ____ you to read the contract carefully before signing.,
210,obtain,得る/手に入れる,You must ____ approval from your manager before traveling.,
211,immediately,すぐに/ただちに,Please respond to the client's email ____.,
212,electronic,電子の,All ____ devices must be turned off during the presentation.,
213,highly,非常に/とても/(評価で)高く,She is ____ recommended by her previous employer.,
214,deal,取引/量(名)/取引する/対処する(動),The sales team closed a major ____ with a new client.,
215,regarding,～に関する/～について,Please contact us ____ any questions about your order.,
216,determine,(原因などを)特定する/決定する/決める,The team met to ____ the cause of the production delay.,
217,complaint,苦情/不満,The customer filed a ____ about the delayed shipment.,
218,division,部門/分割,She was transferred to the international sales ____.,
219,retire,退職する/引退する,He plans to ____ after 30 years with the company.,
220,method,方法,The new ____ reduced production time by 20 percent.,
221,agreement,契約(書)/合意,Both companies signed the ____ at the end of the negotiation.,
222,celebration,祝賀(会),The office held a ____ for the team's record-breaking sales.,
223,modern,現代の/近代的な/最新式の,The company renovated its office with ____ furniture.,
224,standard,基準/水準(名)/標準の(形),All products must meet the company's quality ____.,
225,responsible,責任がある/原因である,Each manager is ____ for the performance of their team.,
226,enclose,同封する/囲む,Please find the invoice enclosed with this letter.,
227,specific,特定の/具体的な/特有の,Could you give me more ____ details about the project?,
228,renew,更新する,Please remember to ____ your annual membership before it expires.,
229,definitely,絶対に/間違いなく/もちろん,This new strategy will ____ improve our customer retention rate.,
230,destination,目的地/行先,Tokyo is a popular ____ for international business travelers.,
231,district,(市や町の)地区,The new office is located in the financial ____ of the city.,
232,leading,一流の/主要な,She works for one of the ____ law firms in the country.,
233,regulation,規則/規制,All staff must follow the safety ____ s in the workplace.,
234,mayor,市長/町(村)長,The ____ attended the opening ceremony of the new community center.,
235,ability,能力,She has the ____ to manage multiple projects at the same time.,
236,temporary,臨時の/一時的な,The company hired ____ staff to handle the busy season.,
237,architect,建築家,The ____ presented the design plans at the meeting.,
238,affect,影響する,The new policy will ____ all employees starting next month.,
239,efficient,効率的な,The new software made the billing process much more ____.,
240,statement,明細書/声明/発言,Please review your monthly bank ____ for any errors.,
241,tip,ヒント/助言/コツ/チップ/先端(名)/チップを渡す/傾ける(動),The manager shared several useful ____ s for the presentation.,
242,admission,入場(料)/入会(費),The ____ fee for the trade show is 50 dollars per person.,
243,arrival,到着,Please notify the front desk upon your ____ at the hotel.,
244,profit,利益(名)/利益を得る(動),The company reported a 15 percent increase in ____ this quarter.,
245,complex,複合施設/複合ビル(名)/複雑な(形),The shopping ____ includes a cinema and several restaurants.,
246,insurance,保険,All employees are covered by the company's health ____ plan.,
247,guarantee,保証する(動)/保証(書)(名),We ____ that all products will be delivered within five business days.,
248,finalize,仕上げる/最終決定する/完結させる,We need to ____ the contract before the end of this week.,
249,related,関連(連係)する/血縁関係にある,Please send all ____ documents along with your application.,
250,entry,エントリー(作品)/入ること/入場/入力,Submissions for the design contest must be one ____ per person.,
251,establish,設立する/創立する/確立する,The company was established over 50 years ago by its founder.,
252,recognize,認める/表彰する/認識する,The CEO will ____ outstanding employees at the annual ceremony.,
253,demonstrate,実演する/示す/証明する,The technician will ____ how to use the new equipment.,
254,landscaping,造園,The company hired a ____ firm to redesign the garden area.,
255,tax,税金(名)/課税する(動),All prices listed on the website do not include ____.,
256,grant,助成(補助)金(名)/与える/認める(動),The research team received a ____ from the government.,
257,earn,得る/もたらす/稼ぐ,Employees can ____ bonus points by completing extra training.,
258,full-time,常勤の,We are looking for a ____ receptionist to join our team.,
259,deposit,保証金/手付金/預金(名)/預ける/入金する(動),A ____ of one month's rent is required when signing the lease.,
260,monitor,チェックする/監視する(動)/モニター/画面(名),The manager will ____ the team's progress on a weekly basis.,
261,journal,専門誌,The research was published in a leading academic ____.,
262,reward,報酬/ほうび(名)/報いる/ご褒美を与える(動),The company offers a ____ program for employees who refer new hires.,
263,status,状況/地位,Please check the ____ of your order on our website.,
264,nearly,ほとんど/もう少しで,____ all of the tickets for the conference have been sold.,
265,approach,手法/接近(名)/近づく/取り組む(動),The team tried a different ____ to solve the technical issue.,
266,content,中身/内容(名)/満足した(形),The ____ of the training manual was updated last month.,
267,flyer,チラシ/(旅客機の)利用客,We distributed ____ s about the new product at the trade show.,
268,automobile,自動車,The ____ industry has seen rapid growth in electric vehicles.,
269,frequently,頻繁に,The manager ____ reminds the team to submit reports on time.,
270,various,さまざまな,The store sells ____ types of office supplies and stationery.,
271,electric,電気の/電動の,The company replaced its delivery trucks with ____ vehicles.,
272,particular,特定の/好みがうるさい,Is there a ____ time that works best for the meeting?,
273,legal,法律の/法律上の/合法の,All contracts must be reviewed by the ____ department.,
274,willing,～しても構わない/～するのを嫌がらない,I am ____ to work overtime to meet the project deadline.,
275,properly,きちんと/適切に,Please make sure all equipment is ____ stored after use.,
276,claim,請求/主張/要求(名)/請求する/主張する(動),You can ____ travel expenses by submitting the receipt form.,
277,drawing,抽選(会)/くじ引き/デッサン/線画,The winner of the prize ____ will be announced on Friday.,
278,flavor,味/風味,The café introduced three new ____ s of coffee this season.,
279,graduate,卒業する(動)/卒業生(名),She plans to ____ from the MBA program at the end of this year.,
280,familiar,よく知っている/よく知られた,Are you ____ with the new expense reporting system?,
281,exactly,正確に/まさしく/ちょうど/その通り,Please follow the instructions ____ as written in the manual.,
282,ideal,理想的な/理想の(形)/理想/理想像(名),This candidate has the ____ background for the position.,
283,neighborhood,(町や市の人が住む特定の)地域/近所,The new office is located in a quiet business ____.,
284,traditional,伝統的な/昔ながらの,The company held its ____ year-end dinner at a local restaurant.,
285,explore,探索する/探る/調べる,The team will ____ new markets in Southeast Asia next quarter.,
286,appropriate,適切な,Please wear ____ business attire to the client meeting.,
287,departure,出発/逸脱,Your ____ time has been changed to 9:00 a.m. tomorrow.,
288,quantity,量/数量,Please confirm the ____ of items you need before placing the order.,
289,minimum,最低限/最小限(名)/最低限の(形),A ____ of five years of experience is required for this role.,
290,identify,特定する,The audit team was able to ____ the source of the error.,
291,satisfied,満足した,We are committed to ensuring that every customer is ____.,
292,environmental,環境の/環境への,The company launched a new ____ policy to reduce waste.,
293,former,元の/以前の/かつての,The ____ CEO returned as a consultant to support the transition.,
294,decade,10年間,The company has grown significantly over the past ____.,
295,mostly,ほとんど/主に,The attendees were ____ senior managers from various departments.,
296,initial,最初の/初めの(形)/頭文字(名),The ____ meeting with the client went very well.,
297,significant,かなりの/重要な,There has been a ____ increase in online sales this quarter.,
298,educational,教育の,The company offers ____ support for employees pursuing further study.,
299,decline,(丁重に)断る/減少する(動)/減少/低下(名),She had to ____ the job offer due to personal reasons.,
300,preparation,準備/支度/調理,Good ____ is the key to a successful presentation.,
301,suitable,適した/ふさわしい,Please wear ____ clothing for the outdoor event.,
302,priority,優先(事項),Customer satisfaction is our top ____ at all times.,
303,brief,簡潔な/短時間の(形)/概要を説明する(動)/概要(名),The manager gave a ____ overview of the project at the meeting.,
304,reasonable,(値段などが)手ごろな/妥当な,The hotel offers ____ rates for long-term guests.,
305,setting,設定/環境,The conference will be held in a professional ____ downtown.,
306,forecast,予報/予測(名)/予測する(動),The sales ____ for next quarter looks very promising.,
307,fuel,燃料(名)/燃料を補給する/促進する(動),The company is looking for ways to reduce ____ costs for delivery.,
308,campus,敷地/(大学などの)キャンパス,The new research center will be built on the university ____.,
309,found,設立する/創立する/創設する,The organization was ____ ed by a group of local business leaders.,
310,agricultural,農業の,The region is known for its rich ____ land and produce.,
311,donation,寄付,The company made a generous ____ to the local children's hospital.,
312,anniversary,周年記念日,The company is celebrating its 50th ____ this year.,
313,clerk,店員/(ホテルの)受付係/事務員,Please speak to the ____ at the front desk for assistance.,
314,aware,気づいている/承知している,All staff must be ____ of the new security procedures.,
315,progress,進行/前進/進歩(名)/進む/前進する(動),The manager reviewed the ____ of the project at the weekly meeting.,
316,overall,全体の/全般的な(形)/全体的に(副),The ____ performance of the team improved significantly this quarter.,
317,delighted,大いに喜んで,We are ____ to welcome our new director to the team.,
318,emphasize,強調する,The CEO ____ d the importance of teamwork during the speech.,
319,vote,投票する(動)/票/投票(名),All board members were asked to ____ on the new proposal.,
320,worth,～の価値がある(形)/価値(名),The new software is ____ the investment for any growing business.,
321,cooperation,協力,The success of the project depended on the ____ of all departments.,
322,structure,構造/建造物(名)/構成する/組み立てる(動),The new office ____ will be completed by the end of the year.,
323,combine,組み合わせる/結びつける/併せ持つ,We will ____ both teams to work on the new product launch.,
324,automatically,自動的に/自動で,The system will ____ send a confirmation email after registration.,
325,contribute,貢献する/寄付する/寄稿する/一因となる,All employees are encouraged to ____ ideas at the team meeting.,
326,institute,専門学校/研究所(名)/設立する/始める(動),She studied at a well-known research ____ in the city.,
327,completely,完全に/すっかり,The renovation of the office has been ____ finished.,
328,achieve,達成する,The team worked hard to ____ its sales targets this quarter.,
329,function,機能する(動)/機能/役割(名),Please make sure all equipment is ____ ing properly before the event.,
330,duty,職務/義務/関税,It is the manager's ____ to ensure the team meets its goals.,
331,fare,運賃/(レストランの)料理,The bus ____ has increased due to rising fuel costs.,
332,prevent,妨げる/防ぐ,Regular maintenance can ____ costly equipment breakdowns.,
333,confident,自信がある/確信している,She felt ____ about her performance after thorough preparation.,
334,enable,可能にする,The new software will ____ staff to work more efficiently.,
335,athletic,運動用の/運動競技の/運動好きな,The company built a new ____ facility for its employees.,
336,impact,影響(名)/影響を与える(動),The new policy had a significant ____ on employee productivity.,
337,gain,得る/増す(動)/利益/増加(名),She was able to ____ valuable experience through the internship.,
338,locate,(場所を)見つける,We are trying to ____ a suitable venue for the annual conference.,
339,background,経歴/背景,Candidates should have a strong ____ in finance or accounting.,
340,shortly,すぐに/まもなく,The meeting will begin ____ so please take your seats.,
341,diet,食事/ダイエット(名)/ダイエットする(動),The cafeteria now offers a healthy ____ menu for all employees.,
342,income,収入/所得,The company provides a competitive ____ and benefits package.,
343,proof,証明/証拠,Please provide ____ of your identity when collecting the package.,
344,occasion,行事/場合/時/機会,This award ceremony is a special ____ for the entire company.,
345,measure,測る/評価する(動)/基準/手段/程度(名),We need to ____ the effectiveness of the new training program.,
346,basis,基準/基礎,Employees are evaluated on a monthly ____ by their managers.,
347,occur,起こる/生じる,If any problems ____ during the event please contact the organizer.,
348,complicated,複雑な,The new tax regulations are quite ____ and require expert advice.,
349,absolutely,本当に/絶対に/(返事で)もちろん/まったくその通り,I am ____ certain that the project will be completed on time.,
350,emergency,緊急時/非常事態,All staff must know the ____ exit procedures for the building.,
351,analyze,分析する,The team will ____ the survey results and prepare a report.,
352,physical,物理的な/身体の(形)/健康診断(名),Employees are encouraged to take regular ____ activity breaks.,
353,praise,褒める/称賛する(動)/称賛(名),The manager ____ d the team for exceeding their sales targets.,
354,observe,観察する/気づく/順守する,All employees must ____ the company's code of conduct at all times.,
355,reputation,評判,The company has built a strong ____ for quality and reliability.,
356,aspect,側面,Please consider every ____ of the proposal before making a decision.,
357,appearance,外観/外見/出現/出演,A professional ____ is important when meeting with clients.,
358,accompany,付き添う/伴う/伴奏する,A sales representative will ____ you during the factory tour.,
359,generous,寛大な/気前のいい/物惜しみしない,The company was ____ in its support of the local community project.,
360,labor,労働(者)(名)/労働する(動),The new contract outlines the ____ conditions for all part-time staff.,
361,valuable,貴重な(形)/貴重品(名),The feedback from customers has been very ____ for improving our service.,
362,extremely,非常に/きわめて/とても,The response from customers has been ____ positive so far.,
363,soil,(植物が育つ)土/土壌,The region has rich ____ that is ideal for growing vegetables.,
364,relatively,比較的,The new process is ____ simple and easy for staff to learn.,
365,appeal,(心に)訴える/興味を引く(動)/訴え/魅力(名),The new product is designed to ____ to a younger audience.,
366,eager,熱望している,The new recruit was ____ to learn and take on new responsibilities.,
367,storm,嵐/暴風雨(雪),The delivery was delayed due to a severe ____ in the region.,
368,lack,不足/欠如(名)/欠く/不足している(動),A ____ of communication between departments caused the delay.,
369,essential,不可欠の/きわめて重要な(形)/必需品(名),Good communication skills are ____ for this customer-facing role.,
370,reflect,反映する/映す/熟考する,The results ____ the team's hard work and dedication over the year.,
371,surround,囲む,The new building is ____ ed by a well-maintained garden.,
372,afterward,あとで/そのあと,Please join us for a reception ____ in the main hall.,
373,closely,密接に/注意深く,The manager ____ monitored the team's progress throughout the project.,
374,permanent,常設の/永続的な/終身の,After six months she was offered a ____ position at the company.,
375,deserve,値する,The team ____ s recognition for their outstanding performance this year.,
376,existing,既存の,We will upgrade the ____ software system to improve efficiency.,
377,regret,残念に思う/後悔する(動)/遺憾/後悔(名),We ____ to inform you that your application was not successful.,
378,treatment,処理/処置/扱い/治療,All customers should receive fair and respectful ____ at all times.,
